1 Derpå udskilte David og Hærførerne til Tjenesten Asafs, Hemans og Jedutuns Sønner, som i profetisk Henrykkelse spillede på Citre, Harper og Cymbler; og Tallet på de Mænd, der havde med denne Tjeneste at gøre, var:
2 Af Asafs Sønner: Zakkur, Josef, Netanja og Asar'ela, Asafs Sønner under Ledelse af Asaf, der spillede i profetisk Henrykkelse under Kongens Ledelse.
3 Af Jedutun: Jedutuns Sønner Gedalja, Jizri, Jesja'ja, Sjim'i, Hasjabja og Mattitja, seks, under Ledelse af deres Fader Jedutun, der i profetisk Henrykkelse spillede på Citer, når HERREN blev lovet og priset.
4 Af Heman: Hemans Sønner Bukkija, Mattanja, Uzziel, Sjubael, Jerimot, Hananja, Hanani, Eliata, Giddalti, Romamti-Ezer, Josjbekasja, Malloti, Hotir og Mahaziot.
5 Alle disse var Sønner af Heman, Kongens Seer i Guds Ord; for at løfte hans Horn gav Gud Heman fjorten Sønner og tre Døtre.
6 Alle disse spillede under deres Faders Ledelse ved Sangen i HERRENs Hus på Cymbler, Harper og Citre for således at gøre Tjeneste i Guds Hus under Ledelse af Kongen, Asaf, Jedutun og Heman.
7 Deres Tal, sammenregnet med deres Brødre, der var oplært til at synge HERRENs Sange, var 288, kyndige Folk til Hobe.
8 De kastede Lod om Ordningen af Tjenesten med lige Kår både for små og for store, Mestre og Lærlinge.
9 Det første Lod traf Josef, ham selv med hans Brødre og Sønner, tolv; det andet Gedalja, ham selv med hans Brødre og Sønner, tolv;
10 det tredje Zakkur, hans Sønner og Brødre, tolv;
11 det fjerde Jizri, hans Sønner og Brødre, tolv;
12 det femte Netanja, hans Sønner og Brødre, tolv;
13 det sjette Bukkija, hans Sønner og Brødre, tolv;
14 det syvende Jesar'ela, hans Sønner og Brødre, tolv;
15 det ottende Jesjaja, hans Sønner og Brødre, tolv;
16 det niende Mattanja, hans Sønner og Brødre, tolv;
17 det tiende Sjim'i, hans Sønner og Brødre, tolv;
18 det ellevte Uzziel, hans Sønner og Brødre, tolv;
19 det tolvte Hasjabja, hans Sønner og Brødre, tolv;
20 det trettende Sjubael, hans Sønner og Brødre, tolv;
21 det fjortende Mattitja, hans Sønner og Brødre, tolv;
22 det femtende Jeremot, hans Sønner og Brødre, tolv;
23 det sekstende Hananja, hans Sønner og Brødre, tolv;
24 det syttende Josjbekasja, hans Sønner og Brødre, tolv;
25 det attende Hanani, hans Sønner og Brødre, tolv;
26 det nittende Malloti, hans Sønner og Brødre, tolv;
27 det tyvende Eliata, hans Sønner og Brødre, tolv;
28 det een og tyvende Hotir, hans Sønner og Brødre, tolv;
29 det to og tyvende Giddalti, hans Sønner og Brødre, tolv;
30 det tre og tyvende Mahaziot, hans Sønner og Brødre, tolv;
31 det fire og tyvende Romamti-Ezer, hans Sønner og Brødre, tolv.
