1 Ja Daavid ja sotapäälliköt erottivat palvelukseen Aasafin, Heemanin ja Jedutunin pojat, jotka hurmoksissa soittivat kanteleilla, harpuilla ja kymbaaleilla. Ja tämä on luettelo miehistä, jotka tätä palvelustaan toimittivat:
2 Aasafin poikia oli Sakkur, Joosef, Netanja ja Asarela, Aasafin pojat, Aasafin johdolla, joka hurmoksissa soitti kuninkaan johdolla.
3 Jedutunista: Jedutunin pojat Gedalja, Seri, Jesaja, Hasabja ja Mattitja, kaikkiaan kuusi, isänsä Jedutunin johdolla, joka hurmoksissa soitti kanteleilla kiitosta ja ylistystä Herralle.
4 Heemanista: Heemanin pojat Bukkia, Mattanja, Ussiel, Sebuel ja Jerimot, Hananja, Hanani, Eliata, Giddalti ja Roomamti-Eser, Josbekasa, Malloti, Hootir ja Mahasiot;
5 nämä ovat kaikki Heemanin, kuninkaan näkijän, poikia, sen Jumalan sanan mukaan, että hän on korottava korkealle hänen sarvensa: Jumala oli antanut Heemanille neljätoista poikaa ja kolme tytärtä.
6 Nämä kaikki isänsä johdon alaisina veisasivat Herran temppelissä kymbaalien, harppujen ja kanteleitten säestäessä, Jumalan temppelipalveluksessa, kuninkaan, Aasafin, Jedutunin ja Heemanin johdolla.
7 Ja heidän ja heidän veljiensä lukumäärä, jotka oli opetettu veisaamaan Herran kunniaksi, kaikkien taitajien, oli kaksisataa kahdeksankymmentä kahdeksan.
8 Ja he heittivät arpaa palvelusjärjestyksestä, nuoremmat niinkuin vanhemmatkin, taitajat yhdessä oppilasten kanssa.
9 Ensimmäinen arpa, Aasafin arpa, tuli Joosefille. Toinen Gedaljalle, hänelle itselleen sekä hänen veljilleen ja pojilleen, joita oli kaikkiaan kaksitoista.
10 Kolmas Sakkurille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
11 Neljäs Jisrille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
12 Viides Netanjalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
13 Kuudes Bukkialle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
14 Seitsemäs Jesarelalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
15 Kahdeksas Jesajalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
16 Yhdeksäs Mattanjalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
17 Kymmenes Siimeille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
18 Yhdestoista Asarelille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
19 Kahdestoista Hasabjalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
20 Kolmastoista Suubaelille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
21 Neljästoista Mattitjalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
22 Viidestoista Jeremotille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
23 Kuudestoista Hananjalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
24 Seitsemästoista Josbekasalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
25 Kahdeksastoista Hananille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
26 Yhdeksästoista Mallotille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
27 Kahdeskymmenes Elijjatalle, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
28 Kahdeskymmenes yhdes Hootirille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
29 Kahdeskymmenes kahdes Giddaltille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
30 Kahdeskymmenes kolmas Mahasiotille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
31 Kahdeskymmenes neljäs Roomamti-Eserille, hänen pojilleen ja veljilleen, joita oli kaikkiaan kaksitoista.
