1 Dovydas su vyresniaisiais paskyrė Asafo, Hemano ir Jedutūno sūnus skambinti psalteriais, arfomis ir cimbolais. Šiam tarnavimui buvo paskirti muzikantai.
2 Asafo palikuonių buvo keturi: Zakūras, Juozapas, Netanija ir Asarela. Jiems vadovavo Asafas, laikydamasis karaliaus nurodymų.
3 Jedutūno palikuonys: Gedalijas, Ceris, Izaijas, Šimis, Hašabija ir Matitijas. Jiems vadovavo jų tėvas Jedutūnas; jie skambino arfomis, garbindami Viešpatį ir dėkodami Jam.
4 Hemano palikuonys: Bukijas, Matanijas, Uzielis, Šebuelis ir Jerimotas, Hananija, Hananis, Elijata, Gidaltis ir Romamti Ezeras, Jošbekaša, Malotis, Hotyras, Mahazijotas.
5 Visi jie buvo Hemano, karaliaus regėtojo, sūnūs pagal Dievo žodį, kad išaukštintų jo ragą. Dievas davė Hemanui keturiolika sūnų ir tris dukteris.
6 Jie visi, tėvui vadovaujant, giedojo Viešpaties namuose, pritariant cimbolams, arfoms ir psalteriams pagal karaliaus nurodymą Asafui, Jedutūnui ir Hemanui.
7 Jų skaičius kartu su broliais buvo du šimtai aštuoniasdešimt aštuoni. Jie buvo išmokyti giesmių Viešpačiui ir įgudę.
8 Jie metė burtus dėl tarnavimo tvarkos: kaip mažas, taip ir didelis, kaip mokytojas, taip ir mokinys.
9 Pirmasis burtas teko Juozapui iš Asafo giminės. Antras­Gedalijui su sūnumis ir broliais, jų buvo dvylika.
10 Trečias­Zakūrui su sūnumis ir broliais, jų buvo dvylika.
11 Ketvirtas­Icriui su sūnumis ir broliais, jų buvo dvylika.
12 Penktas­Netanijui su sūnumis ir broliais, jų buvo dvylika.
13 Šeštas­Bukijui su sūnumis ir broliais, jų buvo dvylika.
14 Septintas­Jesarelai su sūnumis ir broliais, jų buvo dvylika.
15 Aštuntas­Izaijui su sūnumis ir broliais, jų buvo dvylika.
16 Devintas­Matanijui su sūnumis ir broliais, jų buvo dvylika.
17 Dešimtas­Šimiui su sūnumis ir broliais, jų buvo dvylika.
18 Vienuoliktas­Azareliui su sūnumis ir broliais, jų buvo dvylika.
19 Dvyliktas­Hašabijai su sūnumis ir broliais, jų buvo dvylika.
20 Tryliktas­Subaeliui su sūnumis ir broliais, jų buvo dvylika.
21 Keturioliktas­Matitijui su sūnumis ir broliais, jų buvo dvylika.
22 Penkioliktas­Jeremotui su sūnumis ir broliais, jų buvo dvylika.
23 Šešioliktas­Hananijai su sūnumis ir broliais, jų buvo dvylika.
24 Septynioliktas­Jošbekašai su sūnumis ir broliais, jų buvo dvylika.
25 Aštuonioliktas­Hananiui su sūnumis ir broliais, jų buvo dvylika.
26 Devynioliktas­Maločiui su sūnumis ir broliais, jų buvo dvylika.
27 Dvidešimtas­Elijatai su sūnumis ir broliais, jų buvo dvylika.
28 Dvidešimt pirmas­Hotyrui su sūnumis ir broliais, jų buvo dvylika.
29 Dvidešimt antras­Gidalčiui su sūnumis ir broliais, jų buvo dvylika.
30 Dvidešimt trečias­Mahazijotui su sūnumis ir broliais, jų buvo dvylika.
31 Dvidešimt ketvirtas­Romamti Ezerui su sūnumis ir broliais, jų buvo dvylika.
