1 Un Dāvids ar karaspēka vadoņiem izraudzīja kalpošanai dažus Asafa, kā arī Heimana un Jedutuna dēlus, kas pravietoja dziedādami, pavadot ar cītarām, arfām un cimbālēm; un to vīru skaits, kas šajā kalpošanā atradās, bija: 
2 no Asafa dēliem: Zakurs, Jāzeps, Netanja un Asarēls; šie bija Asafa dēli, kas bija padoti Asafam, kas pravietoja pie ķēniņa. 
3 No Jedutuna, no viņa dēliem: Gedalja, Cerijs, Jesaja, Hašabja, Matitja un Šimejs, šie seši ar arfām sava tēva Jedutuna vadībā pravietodami teica un slavēja To Kungu. 
4 No Heimana, no viņa dēliem: Bukijs, Matanja, Usiēls, Šebuēls, Jerimots, Hananja, Hananijs, Ēliata, Gidaltijs, Romamti-Ēzers, Jošbekaša, Malotijs, Hotīrs un Mahaziots. 
5 Šie visi bija Heimana dēli, kas bija ķēniņa redzētājs, kas uz Dieva vārdu pamata pacēla ragu; un Dievs Heimanam deva četrpadsmit dēlus un trīs meitas. 
6 Šie visi atradās sava tēva vadībā, lai dziedātu Tā Kunga namā ar cimbālēm, arfām un cītarām, kalpodami Dieva namā. Asafs, Jedutuns un Heimans bija pakļauti ķēniņa rīkojumam. 
7 Un viņu skaits kopā ar viņu brāļiem, kas bija mācīti dziedāt Tam Kungam, - viņu visu bija divi simti astoņdesmit astoņi. 
8 Un viņi visi meta meslus par savu kalpošanas kārtību, kā mazie, tā lielie, kā mācītie, tā apmācāmie. 
9 Un pirmā meslu zīme krita Asafa labā Jāzepam; otrā Gedaljam kopā ar viņa brāļiem un viņa dēliem, viņu kopā bija divpadsmit; 
10 trešā Zakuram ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
11 ceturtā Jicrijam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
12 piektā Netanjam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
13 sestā Bukijam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
14 septītā Ješareēlam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
15 astotā Jesajam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
16 devītā Matanjam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
17 desmitā Šimejam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
18 vienpadsmitā Usiēlam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
19 divpadsmitā Hašabjam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
20 trīspadsmitā Šubaēlam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
21 četrpadsmitā Matitjam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
22 piecpadsmitā Jeremotam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
23 sešpadsmitā Hananjam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
24 septiņpadsmitā Jošbekašam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
25 astoņpadsmitā Hananijam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
26 deviņpadsmitā Malotijam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
27 divdesmitā Ēliatam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
28 divdesmit pirmā Hotīram ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
29 divdesmit otrā Gidaltijam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
30 divdesmit trešā Mehaziotam ar viņa dēliem un viņa brāļiem, kopā divpadsmit; 
31 divdesmit ceturtā Romamti-Ēzeram ar viņa dēliem un viņa brāļiem, kopā divpadsmit.
