1 Царот Давид и војводите ги одделија за служба синовите Асафови, Еманови и Идетунови, за да пеа песни на гусли, псалтири и кимвали; беа одредени за работа во службата своја:
2 од синовите Асафови: Закхур, Јосиф, Нетанија и Асиила, синови Асафови, под раководство на Асафа, пророкот, кој беше близу до царот.
3 Од Идитума - синовите Идитумови: Годолија, Сури, Исеја, Семеј, Асавија и Мататија, шестимна, под раководство на татка си Идитума, кој свиреше на гусле, за слава и хвала на Господа.
4 Од Емана - синовите Еманови: Вукуја, Матанија, Озиил, Суваил, Јеримот, Ананија, Ананиј, Елијат, Годолатиј, Ромаматиј - Езер, Савах, Малатиј, Отир, и Мазиот.
5 Сите тие беа синови на Емана, царскиот јасновидец, определини според зборовите Божји, да ја вознесуваат славата. Бог му беше дал на Емана четиринаесет синови и три керки.
6 Сите тие, под водство на татка си пееја во домот Господов на кимвали, псалтири и гусли при службата во домот Божји според упатстово од царот, или од Асафа, Идутина и Емана.
7 Бројот нивни, заедно со браката нивни, обучени да пеат пред Господа, на сите што ја знаеја таа вештина беше двесте осумдесет и осум.
8 А фрлија и жреб за смените на службата, малите заедно со големите, учителите заедно со учениците.
9 Првиот жреб падна на Асафа за Јосифа; вториот - на Годолија со браката негови и синовите негови; тие беа дванаесет;
10 третиот - на Закхура со синовите негови и браката негови; тие беа дванаесет;
11 четвртиот - на Језриј со синовите негови и браката негови; а тие беа дванаесет;
12 петтиот - на Нетанија со синовите негови и браката негови; тие беа дванаесет;
13 шестиот - на Вукија со синовите негови и браката негови; тие беа дванаесет;
14 седмиот - на Јернил со синовите негови и браката негови; тие беа дванаесет;
15 осмиот - на Јосија со синовите негови и браката негови; и тие беа дванаесет;
16 деветтиот - на Матанија со синовите негови и браката негови; и тие беа дванаесет;
17 десеттиот - на Семеја со синовите негови и браката негови; сите заедно дванаесет;
18 единаесеттиот - на Азраила со синовите негови и браката негови; и тие беа дванаесет;
19 дванаесеттиот - на Асавиај со синовите негови и браката негови; тие беа дванаесет;
20 тринаесеттиот - на Суваила со синовите негови и браката негови; сите заедно дванаесет;
21 четиринаесеттиот - на Мататија со синовите негови и браката негови; и тие беа дванаесет;
22 петнаесеттиот - на Јеримота со синовите свои и браката свои; тие беа дванаесет;
23 шеснаесеттиот - на Ананија со синовите негови и браката негови; и тие беа дванаесет;
24 седумнаесеттиот - на Јесвака со синовите негови и браката негови; тие беа дванаесет;
25 осумнаесеттиот - на Ананија со синовите негови и браката негови; се дванаесет;
26 деветнаесеттиот - на Мелитија со синовите негови и браката негови; и тие беа дванаесет;
27 дваесеттиот - Елијата со синовите негови и браката негови; вкупно дванаесет;
28 дваесет и првиот - на Јетира со синовите негови и браката негови; тие беа дванаесет;
29 дваесет и вториот - на Годолатија со синовите негови и браката негови; тие беа дванаесет;
30 дваесет и третиот - Меазота со синовите негови и браката негови; тие беа дванаесет;
31 дваесет и четвртиот - на Рометиезера со синовите негови и браката негови; и тие беа дванаесет.
